0,0.07,0.35,0.61,0.88,1.02,1.03,0.99,0.91,0.76,0.57,0.33,0.06,0
0,0.1,0.38,0.64,0.88,0.92,0.91,0.84,0.74,0.62,0.48,0.31,0.08,0
0,0.16,0.46,0.74,0.87,0.9,0.89,0.84,0.76,0.66,0.53,0.36,0.12,0
0,0.21,0.53,0.79,0.93,1.01,0.98,0.91,0.81,0.71,0.58,0.41,0.16,0
0.01,0.27,0.6,0.83,0.96,1.04,1.07,1.06,1.01,0.89,0.74,0.51,0.21,0.01
0.02,0.28,0.61,0.88,1.06,1.18,1.24,1.27,1.24,1.09,0.85,0.55,0.23,0.01
0.01,0.25,0.6,0.9,1.14,1.3,1.38,1.39,1.31,1.13,0.85,0.53,0.21,0.01
0.01,0.22,0.57,0.89,1.15,1.31,1.42,1.45,1.35,1.16,0.88,0.55,0.2,0.01
0,0.18,0.51,0.78,1,1.14,1.24,1.24,1.18,1.02,0.76,0.46,0.15,0
0,0.12,0.41,0.69,0.92,1.08,1.15,1.11,1.06,0.9,0.65,0.38,0.09,0
0,0.07,0.34,0.61,0.87,1.01,1.06,1.04,0.97,0.8,0.61,0.33,0.06,0
0,0.05,0.32,0.59,0.82,1.01,1.05,1.04,0.96,0.8,0.58,0.32,0.05,0
