0,2.2,15.6,28.3,39.9,49.5,55.3,55.3,49.5,39.9,28.3,15.6,2.2,0
0,4.3,18.4,32,44.9,56,63.3,63.3,56,44.9,32,18.4,4.3,0
0,6.8,21.4,35.8,49.9,63.1,73.3,73.3,63.1,49.9,35.8,21.4,6.8,0
0,9.3,23.8,38.4,53.1,67.6,81.8,81.8,67.6,53.1,38.4,23.8,9.3,0
0,11.1,25.2,39.3,53.6,67.7,80.9,80.9,67.7,53.6,39.3,25.2,11.1,0
0,11.8,25.5,39.3,53.1,66.4,77.7,77.7,66.4,53.1,39.3,25.5,11.8,0
0,11.5,25.4,39.4,53.3,67,79,79,67,53.3,39.4,25.4,11.5,0
0,10.2,24.6,39,53.6,68.1,82.6,82.6,68.1,53.6,39,24.6,10.2,0
0,8,22.7,37.2,51.7,65.7,77.8,77.8,65.7,51.7,37.2,22.7,8,0
0,5.4,19.7,33.7,47.2,59.3,67.6,67.6,59.3,47.2,33.7,19.7,5.4,0
0,3,16.6,29.7,41.8,52,58.2,58.2,52,41.8,29.7,16.6,3,0
0,1.7,14.9,27.4,38.7,48,53.5,53.5,48,38.7,27.4,14.9,1.7,0
