4248.2,3977.3,6304.6,7551.8,6040.6,6488.5,5000.5,6173.3,6495.5,6027.3,6600.9,5357.7
4660.3,4597.6,5119.8,6273.1,6798.5,6439.2,5368.8,5952.5,5200.5,6083.2,4804.9,4797.3
4016.6,4769.8,5504.3,7516.6,3437.4,8270.7,6283.6,6014.9,7750.9,4534.3,5659.3,4397.9
4337.7,3966.9,5049.6,7413.2,5706.6,6473.9,5050.2,3605.8,6256,6019,7339.8,4157.3
4651,5263.5,4982.7,7690.5,7184.2,6523.6,5939,4832.4,5585.7,6092.5,5572.7,3970.8
4290.9,4182.2,5724,5821.1,5988.2,7528.6,6393.1,7120.5,7101.9,7110.3,5495.2,3371.8
4235.6,3526,6031.4,5297.8,6473.2,6352.7,5742.3,6445.3,6711.1,5604.2,5019.5,3675.7
4351.5,4219.8,5313.8,7861.9,5137.1,5212.8,6105.7,5266.6,7168.4,7113.4,5598,3629.3
4518.2,3649.6,5665.5,3312.1,5900.5,7229.7,5673.5,5048.4,6604.1,6032,6743.6,3063.5
4014.9,4320.4,5664.2,3629.7,6241.7,6001.3,5316.1,5274.5,6441.5,5873.9,6040.6,4564.9
3497.8,4114.3,6385.9,5830.9,6422.8,6766.4,5908.7,5325.4,6762,5005.5,5991.3,3516.2
0,4628.8,5134.9,6735.5,7400,7233.6,6402.4,6734.9,6920.8,6893.5,6078.9,3729.9
0,3969.9,6684,6637.5,6066,5954.4,5816.3,5412.5,6827.6,6193.2,5259.8,3273.9
0,4040.5,5423.6,7168.5,5674.7,7510.1,5518.1,5937.2,6180.4,6751.5,5385.6,3054.9
0,4640.1,5964.5,4955.7,6737,4584.3,5680.6,5278.8,5956.8,6369.7,4250,3848.1
0,4293.6,4481.1,5657.6,6608.2,6120.3,5241.7,6693.7,6656.3,6916.6,5588.6,4330.4
0,4512.4,5738.5,6364.8,7573.5,5563.1,6087.8,6324.8,6869.2,6717.5,6859.5,5463.1
0,4201.1,5632.5,6708.7,6203.9,5368.1,5705.6,7351.9,6587.2,7053.5,5062.3,3909.3
0,4036.8,4886.3,6255.7,8293.7,8514.8,6398.2,6587.2,7045.1,6892.2,6199.5,4026.4
0,0,5877.1,4940.5,5875.8,5447.7,0,5336.7,6092.8,6027.3,4742.6,3642.3
