0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00458649,0.017123377,0.024997825,0.049677368,0.038223434,0.017853328,0.012219868,0.005949381,0.00169607,0.00045082
0.048438924,0.075650407,0.055388466,0.048349291,0.049772442,0.12900345,0.171309129,0.119099237,0.127899192,0.094316806,0.094001425,0.058217702
0.093415335,0.125958106,0.051398652,0.059516263,0.072570993,0.20333764,0.260736944,0.202864132,0.206345328,0.155104085,0.153155411,0.100014432
0.109631296,0.143814003,0.051227875,0.084559347,0.083235325,0.265270649,0.349717116,0.282776541,0.245005215,0.180808028,0.167103289,0.085268452
0.13545483,0.130229152,0.046944727,0.075538456,0.117273878,0.264729258,0.365950735,0.323601207,0.2796695,0.222920331,0.177816092,0.054556225
0.134514022,0.119112317,0.049602163,0.067776578,0.073780284,0.282501293,0.352239025,0.325051488,0.280206098,0.216695695,0.159976962,0.045214766
0.068858815,0.076077738,0.024773413,0.050117327,0.07935297,0.276998338,0.338412839,0.309306972,0.240496405,0.167801658,0.131471285,0.031469654
0.062540339,0.044091301,0.07788411,0.038935843,0.054947397,0.229001532,0.279153141,0.267713182,0.205670534,0.126806072,0.102218784,0.02452987
0.035462524,0.033906354,0.015071468,0.047135178,0.04281915,0.182326167,0.19993634,0.193953903,0.140156055,0.088081367,0.061183731,0.017290832
0.014964933,0.0194915,0.024013371,0.030616396,0.024963789,0.13061281,0.123309136,0.139194591,0.102384345,0.066253318,0.023903856,0.007862266
0,0,0,0.009725292,0.015255081,0.046287244,0.045208427,0.02863569,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
