1.3563,1.3686,1.7663,1.4492,1.7763,1.8156,1.8248,1.9809,2.2011,2.2132,1.9455,1.8911,1.7157,1.7319,1.8649,1.735,1.7435,1.8926,1.9394,2.1888,1.746,1.86,1.5342,1.6939
1.2263,1.2396,1.5967,1.3292,1.6263,1.6563,1.6709,1.8071,2.0311,2.0532,1.79,1.7255,1.5678,1.5819,1.6949,1.5825,1.6035,1.7326,1.7494,1.9989,1.598,1.712,1.4147,1.5544
1.1691,1.1801,1.5067,1.2792,1.5663,1.5763,1.5771,1.6871,1.9085,1.9206,1.72,1.6455,1.4978,1.5119,1.6125,1.5025,1.5335,1.6326,1.6495,1.869,1.518,1.614,1.3447,1.4747
1.1391,1.1504,1.4571,1.2292,1.5163,1.5163,1.5071,1.6071,1.8285,1.8206,1.67,1.58,1.4778,1.4719,1.5625,1.4525,1.4935,1.5626,1.5895,1.789,1.468,1.584,1.2953,1.415
1.1591,1.1504,1.4471,1.2292,1.4869,1.5163,1.4971,1.5771,1.7985,1.7806,1.67,1.58,1.4878,1.4719,1.5425,1.4525,1.4835,1.5626,1.5895,1.739,1.468,1.534,1.3053,1.405
1.2663,1.2396,1.5167,1.3292,1.5663,1.5563,1.5771,1.5871,1.8285,1.7806,1.73,1.6355,1.5878,1.5119,1.6325,1.5125,1.6035,1.6026,1.6894,1.769,1.548,1.564,1.4047,1.4448
1.4563,1.3289,1.6167,1.3792,1.6863,1.5763,1.6309,1.5871,1.8085,1.7206,1.79,1.6355,1.7078,1.5219,1.7149,1.5825,1.7235,1.6126,1.8494,1.769,1.628,1.554,1.5742,1.4249
1.6136,1.3686,1.7263,1.4492,1.8356,1.5863,1.7609,1.6071,1.8985,1.6906,1.9255,1.6655,1.8657,1.5619,1.8149,1.6425,1.8844,1.6526,1.9894,1.789,1.746,1.544,1.6937,1.5246
1.8309,1.4479,1.9059,1.5492,2.075,1.6763,2.0387,1.6871,2.1911,1.7506,2.2011,1.7711,2.1337,1.6719,2.0574,1.755,2.1544,1.7626,2.2493,1.869,2.014,1.644,1.9026,1.6142
2.0881,1.5669,2.1655,1.6688,2.3844,1.8256,2.4125,1.8171,2.5238,1.8606,2.5222,1.9111,2.4317,1.8119,2.3699,1.865,2.4653,1.9026,2.5491,1.9989,2.342,1.752,2.1816,1.7338
2.2481,1.6264,2.3551,1.7488,2.6138,1.9256,2.6564,1.9409,2.7664,1.9732,2.7477,2.0466,2.6296,1.9098,2.5699,1.945,2.6853,2.0426,2.7791,2.1288,2.55,1.842,2.381,1.8434
2.2654,1.6363,2.3951,1.7588,2.6538,1.9756,2.7003,2.0009,2.8391,2.0432,2.8377,2.0866,2.6696,1.9598,2.6024,1.955,2.7762,2.0926,2.829,2.1888,2.6,1.87,2.421,1.8633
2.2481,1.6363,2.3651,1.7588,2.5944,1.9956,2.7003,2.0409,2.8164,2.0632,2.8277,2.0866,2.6296,1.9498,2.5824,1.935,2.7762,2.0726,2.819,2.1888,2.59,1.92,2.411,1.9331
2.1381,1.5669,2.2255,1.6988,2.5544,1.9156,2.6164,1.9809,2.7964,2.0532,2.6977,2.0266,2.5096,1.8698,2.4899,1.865,2.6853,2.0026,2.7091,2.1488,2.5,1.89,2.321,1.7936
2.1581,1.5173,2.2155,1.6488,2.5844,1.8856,2.6664,1.9409,2.8391,2.0732,2.6877,1.9766,2.5196,1.8319,2.4799,1.825,2.7262,1.9826,2.7791,2.1588,2.51,1.88,2.361,1.7438
2.1481,1.4776,2.1155,1.5992,2.5844,1.8656,2.6703,1.8709,2.8391,2.0832,2.6477,1.9466,2.5096,1.8019,2.4799,1.805,2.7462,1.9326,2.7691,2.1388,2.51,1.85,2.361,1.7039
2.1581,1.4776,2.0855,1.5892,2.5544,1.8356,2.6603,1.8509,2.8291,2.0732,2.6577,1.9211,2.5017,1.7919,2.4499,1.785,2.7262,1.9126,2.7491,2.1188,2.51,1.792,2.381,1.7039
2.1481,1.5173,2.0755,1.5892,2.4844,1.8056,2.5764,1.8609,2.7364,2.0432,2.6322,1.9366,2.4517,1.7919,2.3999,1.785,2.6553,1.9026,2.6891,2.0889,2.5,1.782,2.371,1.7338
2.1981,1.6958,2.0855,1.7388,2.3944,1.8656,2.4664,1.8909,2.5764,1.9506,2.5622,1.9866,2.4017,1.8219,2.3799,1.825,2.5953,1.9926,2.7191,2.2288,2.55,1.94,2.421,1.9331
2.2181,1.8148,2.1955,1.8388,2.4544,2.055,2.5164,2.0748,2.6264,2.1032,2.5622,2.1022,2.3617,2.0098,2.4499,2.025,2.5653,2.1226,2.7391,2.3286,2.5,2.01,2.411,1.9929
2.0881,1.8148,2.0755,1.8288,2.3544,2.055,2.4225,2.1148,2.4738,2.2132,2.4822,2.1822,2.3117,2.0398,2.4099,2.035,2.4853,2.1226,2.6091,2.3186,2.402,2.02,2.2316,1.9829
1.9109,1.7553,1.9359,1.7888,2.195,2.055,2.2925,2.1148,2.3938,2.2332,2.2966,2.1822,2.1637,2.0398,2.2899,2.045,2.3353,2.1126,2.3793,2.2988,2.172,2.01,2.0621,1.9331
1.7136,1.557,1.7763,1.7288,2.0456,2.0056,2.1687,2.1048,2.3738,2.2632,2.1811,2.1722,2.0637,2.0098,2.1674,1.925,2.2044,2.0826,2.2693,2.2988,2.064,1.99,1.8232,1.8135
1.5236,1.3487,1.5967,1.6488,1.8856,1.9356,2.0687,2.0848,2.3238,2.2832,2.0811,2.1722,1.8157,1.9498,2.0474,1.815,2.0844,2.0226,2.1593,2.2288,1.924,1.94,1.7432,1.7139
